Smiles	Is_Nature_Product	Np Likeness Score
COc1cc2[nH]c(C)c(-c3cccnc3)c(=O)c2cc1Cl	0	-0.94
COc1ccc(Oc2c(Cl)cnn(Cc3cccc4ccccc34)c2=O)c(F)c1	0	-1.36
COC(=O)c1ccc2c(c1)C[C@H]1[C@]3(C)C[C@@H](O)[C@H]4C(C)(C)CC[C@@H](O)[C@]4(C)[C@H]3CC[C@]1(C)O2	1	2.44
C=C(C(=O)O)/C(=C\CCCCCCCO)C(=O)O	1	1.06
C=C(C)[C@@]12O[C@@H]1[C@@]1(C)C(=C[C@@H]2O)CC[C@@H](O)[C@@H]1C	1	3.48
CC(=O)O[C@H]1C[C@@]2(C)[C@@H](CC[C@H]3[C@@]4(C)C=CC(=O)[C@@H](C)[C@@H]4[C@H](OC(C)=O)C(=O)[C@@]32C)/C1=C1\CC[C@@H](C(C)(C)O)OC1=O	1	2.99
CCN(CCCCCCOc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1)Cc1ccccc1OC	0	0.04
C=C[C@]1(C)C=C2C(=O)C3=C4[C@@](C)(CC[C@@H](O)[C@]4(C)[C@@]2(O)CC1)CO3	1	3.49
COc1ccc(C(=S)NCc2ccccc2)c(O)c1	0	-0.55
CC1(C)CC(=O)C[C@]2(C)[C@@H](CO)[C@](C)(O)CC[C@@H]12	1	2.97
CC1(C)CCC[C@]1(C)c1ccc(C(=O)OCC[C@@](C)(O)CC(=O)O)cc1	1	1.22
C=C[C@]1(C)C=C2C(=O)C=C3C(C)(C)CCC[C@]3(O)[C@@]2(O)CC1	1	2.66
CC(=O)Nc1cccc(/C(C)=N/NC(=O)c2ccccc2Cl)c1	0	-2.08
COC(=O)c1cc(O)cc(OC)c1Oc1cc(CO)cc(O)c1C(=O)O	1	1.21
Cc1cc(=O)n(C)c2c1C(=O)c1c(C)cc(=O)n3c1[C@@]2(O)C[C@]3(C)O	1	0.52
C=C(OC)C(=O)Nc1cc(OC)c(OC)cc1C(=O)O[C@H]1C[C@H](O[C@@H]2C(=O)C(NC(=O)OC)=C3/C(=C\CSSSC)[C@]2(O)C#C/C=C\C#C[C@@H]3O[C@@H]2O[C@H](C)[C@@H](NO[C@H]3C[C@H](O)[C@H](SC)[C@@H](C)O3)[C@H](O)[C@H]2O[C@H]2C[C@H](OC)[C@@H](NC(C)C)CO2)O[C@@H](C)[C@H]1O	1	
CCOC(=O)Cc1cc(O)cc2oc(/C=C/C[C@H](C)O)cc(=O)c12	1	1.49
c1ccc(CCOc2cccnc2-c2cccnc2)cc1	0	-0.71
CCC(C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)n2c1nc1c(c2=O)C=CC=CO1	1	1.63
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3OC1CC(NC(C)=O)C(O)C(C)O1	1	1.55
COc1ccc(O[C@@H]2O[C@H](CO[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(=O)CO)[C@H]([C@H](O)[C@H](O)CNCc4ccc(-c5cccc(C(=O)O)c5)cc4)O3)[C@H](O)[C@H](O)[C@H]2O)cc1	0	0.7
Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1C	0	-0.69
CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1cc(O)c(C)cc1O	1	1.9
CONC(=O)c1cc(OC)cc(-c2ccccn2)n1	1	-0.85
C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C/CC(O)CC[C@@H](C)C/C=C/[C@H]3[C@@H]1O	1	2.67
Cc1c(C(=O)NN2CCOCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(I)cc1	0	-1.78
CCC(=O)C1(C)C(=O)c2c1ccc(C)c2OC(C)=O	1	0.73
O=C(c1ccccc1O)c1[nH]c(Cl)c(Cl)c1-n1c(C(=O)c2ccccc2O)cc(Cl)c1Cl	1	-0.14
Cc1cc(=O)c2c(O)cc3c(c2o1)C(=O)c1c(O)cc(O)cc1C3=O	1	1.82
CCCCOC(=O)c1nc(O)c2cc3cc(OC)c(OC)cc3nc2n1	0	-0.61
Cc1ccc(/C=C/[C@]2(C)CC[C@@](C)(/C=C/C3=C[C@H](O)[C@](C)(O)C[C@@H]3O)O2)cc1	1	1.58
CCN/C(=N\C#N)N1CCOC(COc2cc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3cc2OC)C1	0	-1.24
CNC1C/C(=N\OC)CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1	0	-0.23
CCn1c(=O)c2cc(C(=O)NCCN(C)C)sc2c2ccccc21	0	-1.77
Cc1cc(CN2CCCC2)cc(Oc2nc(C)cnc2C)c1	0	-1.4
CCOC(=O)COc1ccc(CNC(=O)C2SCCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)cc1.Cl	0	-1.0
CO[C@@H]1CC(=O)CC[C@@H](C)OC(=O)C[C@@H]1O	1	2.67
NNC(=O)COC(Cn1nnc(-c2ccccc2)n1)c1ccc(Cl)cc1	0	-1.87
Cc1cc2c(cc1C(=O)/C=C/c1ccc(Cl)c(Cl)c1)C(C)(C)CCC2(C)C	0	-0.01
